type,layer,text,x,y,rotation,height
MTEXT,0,20,734843.129511365,66992.1821511906,0.0,
MTEXT,0,{\Fisocp|c0;POWER & FREE TRACK},735653.0887272612,66992.1821511906,0.0,
MTEXT,0,{\Fisocp|c0;STRAIGHT},736675.6633623391,66992.1821511906,0.0,
MTEXT,0,{\Fisocp|c0;191927},737461.0199287793,66992.1821511906,0.0,
MTEXT,0,{\Fisocp|c0;FREE TRACK},735436.7691151523,66823.2728254978,0.0,
MTEXT,0,{\Fisocp|c0;STRAIGHT},736675.663362339,66823.27282549733,0.0,
MTEXT,0,21,734843.129511365,66823.27282549738,0.0,
MTEXT,0,{\Fisocp|c0;32003},737461.0199287793,66823.27282549755,0.0,
MTEXT,0,{\Fisocp|c0;FREE TRACK},735436.7691151524,67161.09147688317,0.0,
MTEXT,0,{\Fisocp|c0;BEND},736675.6633623391,67161.0914768827,0.0,
MTEXT,0,19,734843.1295113651,67161.09147688275,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287795,67161.09147688292,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788798,67161.09147688233,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738343.0205145088,67161.09147688258,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996761,67161.09147688218,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735436.7691151523,66654.36349980491,0.0,
MTEXT,0,{\Fisocp|c0;STRAIGHT},736675.663362339,66654.36349980444,0.0,
MTEXT,0,22,734843.129511365,66654.36349980449,0.0,
MTEXT,0,{\Fisocp|c0;94850},737461.0199287793,66654.36349980466,0.0,
MTEXT,0,24,734843.1295113668,66316.5448484176,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471209,66288.63014526476,0.0,
MTEXT,0,{\Fisocp|c0;03},738722.479904223,66259.92237783954,0.0,
MTEXT,0,{\Fisocp|c0;PNUEMATIC OPERATED SWITCH LH},735642.5856286197,66238.38213402996,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960008,66259.92237783976,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499257,66259.92237784,0.0,
MTEXT,0,25,734843.1295113666,65978.72619703178,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471207,65950.81149387894,0.0,
MTEXT,0,{\Fisocp|c0;01},738722.4799042228,65922.10372645372,0.0,
MTEXT,0,{\Fisocp|c0;PNUEMATIC OPERATED SWITCH RH},735642.5856286194,65900.56348264414,0.0,
